報告年度:2024,議題:職業安全衛生,,,,,,
公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
2328,廣宇,0,0.00%,N/A,0,0,0
2329,華泰,12,1.16%,跌倒、墜落、物體飛落、燙傷、割傷,0,0,0
2330,台積電,37,0.05%,跌倒、碰撞傷、夾傷、捲傷、物體飛落、切、割、擦傷、不當動作、其他,0,0,0
2331,精英,4,0.72%,上下班交通事故4人,0,0,0
2332,友訊,0,0.00%,未發生職災,0,0,0
2337,旺宏,3,0.07%,碰撞、夾傷及跌倒,0,0,0
2338,光罩,1,0.20%,2024年列入職業傷害指標計算之職災件數為1件為2024年4月3日地震造成廠區更衣室天花板輕鋼架及燈座掉落砸傷頭部。,0,0,0
2340,台亞,1,0.12%,人員傷害,0,0,0
2342,茂矽,4,0.67%,墜落、跌倒、交通事故,0,0,0
2344,華邦電,9,0.11%,跌倒6件、化學品1件、切割傷2件,0,0,0
2345,智邦,10,0.25%,砸傷、撞傷、夾捲、壓傷、割傷,0,0,0
2347,聯強,17,1.70%,8件為上下班發生之交通事故、9件為同仁執行勤務中因自身安全疏忽發生意外事故,0,0,0
2348,海悅,0,0.00%,,0,0,0
2349,錸德,0,0.00%,,0,0,0
2351,順德,7,0.50%,,0,0,0
2352,佳世達,2,0.10%,物理性,0,0,0
2353,宏碁,28,0.30%,分析職業傷害類別主要為壓傷及外出開會交通意外,0,0,0
2354,鴻準,2,0.03%,工作場所,0,0,0
2355,敬鵬,46,0.01%,墜落.滾落、跌倒、物體飛落(破裂)、被撞、被夾.被捲、被切割.擦傷、與有害物等之接觸、其他,0,0,0
2356,英業達,24,0.54%,跌倒、切割傷、物體倒塌、被撞等 ,0,0,0
2357,華碩,3,0.20%,可紀錄之職業傷害數共 3 件，工作過程不慎受傷：球場球網雙設遭鐵片打傷（1）、二階人字梯跌傷（1）、泳池擦拭落地窗踩空跌傷（1），以上均已完成環境改善及建立標準操作SOP 供執行,0,0,0
2359,所羅門,0,0.00%,,0,0,0
2360,致茂,4,0.19%,跌倒、被撞、物體破裂,0,0,0
2362,藍天,1,0.00%,廠內受傷,0,0,0
2363,矽統,0,0.00%,N/A,0,0,0
2364,倫飛,0,1.04%,燙傷、割傷、滑倒,0,0,0
2365,昆盈,0,0.00%,無職災,0,0,0
2367,燿華,26,0.57%,26件,0,0,0
2368,金像電,20,0.75%,切割傷/跌倒,0,0,0
2369,菱生,0,0.00%,無,0,0,0
2371,大同,18,0.78%,墜落2件，跌倒3件，物體飛落1件，被撞5件，捲夾1件，割傷1件，與高溫接觸1件，公出交通意外4件，共計18件。,0,0,0
2373,震旦行,1,0.57%,機器設備掉落砸傷拇指,0,0,0
2374,佳能,0,0.00%,無,0,0,0
2375,凱美,0,0.00%,未有相關情事發生,0,0,0
2376,技嘉,9,0.13%,作業過程中不當動作、物體飛落，發生夾傷、割傷、跌倒、眼睛異物侵入,0,0,0
2377,微星,13,0.12%,一般職業傷害事故,0,0,0
2379,瑞昱,0,0.00%,無,0,0,0
2380,虹光,0,0.00%,N/A,0,0,0
2382,廣達,34,0.30%,壓傷、撞傷、跌傷 ,0,0,0
2383,台光電,36,0.68%,交通事件、被夾、被捲、壓傷、砸傷、跌倒等 ,0,0,0
2385,群光,22,0.13%,交通、物體破裂、被夾、被捲、壓傷、砸傷、被刺、割、擦傷、跌倒、被撞,0,0,0
2387,精元,0,0.00%,,0,0,0
2388,威盛,0,0.00%,無,0,0,0
2390,云辰,1,1.28%,N/A,0,0,0
2392,正崴,31,0.52%,機械傷害、其他傷害、物理打擊,0,0,0
2393,億光,8,2.32%,被捲夾、機械傷害、夾傷,0,0,0
2395,研華,11,0.00%,切割/ 跌倒/ 其他,0,0,0
2397,友通,2,0.00%,,0,0,0
2399,映泰,0,0.00%,當年度未發生,0,0,0
2401,凌陽,0,0.00%,無,0,0,0
2402,毅嘉,0,0.00%,無,0,0,0
2404,漢唐,0,0.00%,,0,0,0
2405,輔信,0,0.00%,N/A,0,0,0
2406,國碩,0,0.00%,無職業災害,0,0,0
2408,南亞科,3,0.08%,1件跌倒、2件夾傷,0,0,0
2409,友達,27,0.32%,滑跌倒傷、夾捲壓傷、砸傷撞擊、扭挫傷、刺劃切傷、墜落傷,0,0,0
2412,中華電,13,0.06%,跌倒、墜落、交通事故,2,0,0.00%
2413,環科,0,0.00%,,0,0,0
2414,精技,3,0.72%,上下班途中之交通事故,0,0,0
2415,錩新,0,0.00%,,0,0,0
2417,圓剛,0,0.00%,,0,0,0
2419,仲琦,0,0.00%,不適用,0,0,0
2420,新巨,0,0.00%,,0,0,0
2421,建準,3,0.15%,主要為人員未依規定操作機台所造成之傷害。,2,0,0.00%
2423,固緯,0,0.00%,,0,0,0
2424,隴華,0,0.00%,無,0,0,0
2425,承啟,0,0.00%,,0,0,0
2426,鼎元,4,0.51%,,0,0,0
2427,三商電,1,0.12%,,0,0,0
2428,興勤,0,0.00%,,0,0,0
2429,銘旺科,0,0.00%,無此情形,0,0,0
2430,燦坤,25,1.16%,,0,0,0
2431,聯昌,0,0.00%,,0,0,0
2432,倚天酷碁-創,0,0.00%,,0,0,0
2433,互盛電,0,0.00%,,0,0,0
2434,統懋,0,0.00%,,0,0,0
2436,偉詮電,1,0.34%,,0,0,0
2438,翔耀,0,0.00%,N/A,0,0,0
2439,美律,1,0.02%,N/A,0,0,0
2440,太空梭,0,0.00%,,0,0,0
2441,超豐,5,0.12%,捲夾/跌倒/撞傷,0,0,0
2442,新美齊,0,0.00%,,0,0,0
2444,兆勁,0,0.00%,,0,0,0
2449,京元電子,29,1.90%,物理性危害,0,0,0
2450,神腦,3,14.69%,跌倒,0,0,0
2451,創見,2,1.03%,摔傷1件、挫傷1件 ,0,0,0
2453,凌群,4,0.31%,,0,0,0
2454,聯發科,2,0.01%,墜落、滾落、跌倒,0,0,0
2455,全新,3,0.08%,113年度職業災害共計3件，其中墜落1件、不當動作1件、公路交通意外1件,0,0,0
2457,飛宏,12,0.24%,2024年飛宏職災發生類別如右:林口總部:員工拉傷1件、扭傷1件;東莞飛宏: 員工壓傷3件、摔傷4件;海防飛宏:員工壓傷1件;台南馳諾瓦:員工擦傷事故1件、感電事故1件、燙傷1件。 ,0,0,0
2458,義隆,0,0.00%,無,0,0,0
2459,敦吉,0,0.00%,,0,0,0
2460,建通,0,0.00%,,0,0,0
2461,光群雷,0,0.00%,,0,0,0
2462,良得電,0,0.00%,,0,0,0
2464,盟立,1,0.09%,N/A,0,0,0
2466,冠西電,1,0.66%,通勤職災,0,0,0
2467,志聖,3,0.71%,8件上下班及非上下班公路交通事故、1件工安事故,0,0,0
2468,華經,0,0.00%,職業災害分為職業傷害及職業病二類，並據「勞工保險被保險人因執行職務而致傷病審查準則」及「勞工保險職業病種類表」等規定加以認定。,0,0,0
2471,資通,0,0.00%,N/A,0,0,0
2472,立隆電,0,0.00%,,0,0,0
2474,可成,42,0.28%,跌傷、摔傷、撞傷；被夾、被捲；被切、割、擦傷；物體飛落；與高溫、低溫之接觸及其他類型等,2,0,0.00%
2476,鉅祥,6,0.93%,非通勤交通事故、高低溫接觸、被切割擦傷,0,0,0
2477,美隆電,0,0.00%,N/A,0,0,0
2478,大毅,8,0.93%,,0,0,0
2480,敦陽科,0,0.00%,,0,0,0
