報告年度:2023,議題:董事會,,,,,,
公司代號,公司名稱,董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席),獨立董事席次(席)-獨立董事席次(席),董事出席董事會出席率-董事出席董事會出席率,董事進修時數符合進修要點比率-董事進修時數符合進修要點比率,女性董事席次及比率-席,女性董事席次及比率-比率
2611,志信,7,3,95.92%,100.00%,0,0.00%
2612,中航,9,3,94.44%,77.78%,0,0.00%
2613,中櫃,11,3,95.45%,100.00%,1,9.09%
2614,東森,7,4,96.10%,100.00%,0,0.00%
2615,萬海,7,3,93.00%,100.00%,2,28.57%
2616,山隆,9,3,98.04%,100.00%,1,11.11%
2617,台航,8,3,87.50%,100.00%,0,0.00%
2618,長榮航,9,3,100.00%,100.00%,1,11.11%
2630,亞航,11,4,90.91%,100.00%,0,0.00%
2633,台灣高鐵,15,5,94.59%,100.00%,3,20.00%
2634,漢翔,10,3,85.14%,100.00%,1,10.00%
2636,台驊投控,1,3,95.56%,100.00%,0,0.00%
2637,慧洋-KY,9,5,94.81%,100.00%,2,22.22%
2642,宅配通,11,3,93.91%,100.00%,2,18.18%
2645,長榮航太,9,3,98.15%,100.00%,2,22.22%
2646,星宇航空,7,3,95.92%,100.00%,1,14.29%
2701,萬企,5,3,100.00%,100.00%,1,20.00%
2702,華園,7,4,86.00%,71.43%,2,29.00%
2704,國賓,15,3,73.33%,46.67%,4,26.66%
2705,六福,7,4,97.14%,100.00%,3,42.86%
2706,第一店,4,2,95.00%,100.00%,2,50.00%
2707,晶華,9,3,86.11%,33.33%,3,33.33%
2712,遠雄來,7,3,98.57%,100.00%,1,14.29%
2722,夏都,12,3,91.67%,100.00%,5,41.67%
2723,美食-KY,8,4,100.00%,50.00%,1,12.50%
2727,王品,7,4,87.88%,100.00%,2,28.57%
2731,雄獅,9,3,95.74%,100.00%,2,22.22%
