報告年度:2023,議題:人力發展,,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
1727,中華化,764,625,611,577,18.18%,8,3.16%,,0,0,0
1730,花仙子,"1,268","1,075",899,817,50.00%,0,0.00%,,0,0,0
1731,美吾華,970,832,721,614,50.00%,0,0.00%,,0,0,0
1732,毛寶,640,536,524,450,42.90%,1,0.67%,N/A,0,0,0
1733,五鼎,672,554,587,459,38.64%,4,0.56%,交通事故,0,0,0
1734,杏輝,800,661,640,532,43.90%,5,0.66%,,0,0,0
1735,日勝化,987,835,788,703,23.33%,1,0.49%,,0,0,0
1736,喬山,885,747,719,599,46.00%,30,0.90%,,0,0,0
1737,臺鹽,"1,200","1,020","1,012",924,5.85%,2,0.28%,N/A,0,0,0
1752,南光,724,603,579,506,20.69%,18,2.76%,,0,0,0
1760,寶齡富錦,957,801,742,598,34.43%,6,1.07%,,0,0,0
1762,中化生,"1,070",893,861,758,17.86%,7,2.02%,112年發生7起職災案件，其中5起為上下班途中發生交通事故，共7名員工受傷。未來持續推動傷害預防方案、強化同仁日常安全意識、宣導交通安全及行車安全之重要性，朝零災害目標前進。,0,0,0.00%
1773,勝一,"1,309","1,142","1,014",870,6.67%,0,0.00%,,0,0,0
1776,展宇,828,687,622,498,25.00%,3,2.46%,,0,0,0
1783,和康生,"1,142",982,774,607,50.00%,1,0.76%,,0,0,0
1786,科妍,"1,114",942,715,616,31.00%,0,0.00%,,0,0,0
1789,神隆,"1,059",898,853,780,35.05%,5,0.68%,,0,0,0
1795,美時,"1,420","1,084","1,143",840,39.00%,2,0.29%,,0,0,0
1802,台玻,713,591,613,583,3.33%,56,1.47%,,0,0,0
1805,寶徠,"1,286","1,124",706,675,33.33%,0,0.00%,N/A,0,0,0
1806,冠軍,777,625,675,603,18.75%,2,0.28%,N/A,0,0,0
