"報告年度:2022","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開)","員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開)","非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)","非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)","管理職女性主管占比-管理職女性主管占比","職業災害人數及比率-人數","職業災害人數及比率-比率"
"=""2371""","大同","904","775","763","680","20.66%","8","0.32%"
"=""2373""","震旦行","835","591","736","640","15.00%","0","0.00%"
"=""2374""","佳能","1298","1110","1251","1080","23.00%","0","0.00%"
"=""2375""","凱美","2097","1889","774","800","30.00%","0","0.00%"
"=""2376""","技嘉","1306","1058","1409","953","27.25%","6","0.08%"
"=""2377""","微星","1794","1587","1712","1478","24.78%","0","0.00%"
"=""2379""","瑞昱","4910","4617","3839","3069","9.20%","0","0.00%"
"=""2380""","虹光","1066","863","873","771","17.31%","1","0.25%"
"=""2382""","廣達","1791","1556","1501","1217","21.29%","109","0.94%"
"=""2383""","台光電","1317","1148","1054","786","12.03%","22","0.59%"
"=""2385""","群光","2757","2499","1958","1676","14.57%","31","0.00%"
"=""2387""","精元","1128","985","740","655","7.83%","0","0.00%"
"=""2388""","威盛","1915","1672","1632","1443","20.96%","3","0.80%"
"=""2390""","云辰","1038","857","725","697","20.00%","0","0.00%"
"=""2392""","正崴","1723","1527","1082","956","31.20%","66","0.23%"
"=""2393""","億光","906","759","796","603","20.28%","9","0.66%"
"=""2395""","研華","1496","1302","1192","1001","21.00%","4","0.13%"
"=""2397""","友通","1034","892","905","711","22.73%","3","0.47%"
"=""2399""","映泰","1122","928","824","728","35.90%","0","0.00%"
"=""2401""","凌陽","1770","1539","1592","1358","26.14%","0","0.00%"
"=""2402""","毅嘉","844","719","538","439","23.00%","5","2.33%"
"=""2404""","漢唐","1723","1557","1506","1277","14.29%","5","0.55%"
"=""2405""","輔信","1198","1022","976","828","22.92%","0","0.00%"
"=""2406""","國碩","880","737","713","650","26.00%","3","1.95%"
