報告年度:2022,議題:溫室氣體排放,,,,,,,,,,,
公司代號,公司名稱,直接(範疇一)溫室氣體排放量-數據(公噸CO₂e),直接(範疇一)溫室氣體排放量-資料邊界,直接(範疇一)溫室氣體排放量-確信範圍,能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e),能源間接(範疇二)溫室氣體排放量-資料邊界,能源間接(範疇二)溫室氣體排放量-確信範圍,其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e),其他間接(範疇三)溫室氣體排放量-資料邊界,其他間接(範疇三)溫室氣體排放量-確信範圍,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1455,集盛,27860.485,母公司。,ISO 14064,129452.126,母公司。,ISO 14064,3223.058,母公司之龜山一廠、觀音四廠及台北辦事處。,ISO 14064,0.9171,產品
1456,怡華,12.633,台南官田廠,,82.122,台南官田廠,,無，無統計相關數據,,,0.0117,服務
1457,宜進,18.2391,宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司,ISO 14064,54.8869,宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司,ISO 14064,2939.8281,宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司,ISO 14064,0.086,百萬元營業額
1459,聯發,0,工廠,,22685,工廠,,無，無統計相關數據,,,1.1585,產品
1460,宏遠,68671.08,母公司,ISO 14064,61883.9,母公司,ISO 14064,無，無統計相關數據,,,9.47,產品
1463,強盛新,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1464,得力,49421.3291,僅母公司,ISO 14064,33973.771,僅母公司,ISO 14064,無，無統計相關數據,,,19.1405,百萬元營業額
1465,偉全,無，NA,,,無，NA,,,無，NA,,,無，NA,
1466,聚隆,548.17,母公司,,43806.17,母公司,,7786.47,母公司,,15.93,百萬元營業額
1467,南緯,無，無統計相關數據,,,296,母公司,,無，無統計相關數據,,,無，詳永續報告書,
1468,昶和,11.5739,母公司,,1897.0114,母公司,,無，無統計相關數據,,,2.78,百萬元營業額
1470,大統新創,19644.97,合併財務報表之母子公司之桃園廠區,ISO 14064,5151.28,合併財務報表之母子公司之桃園廠區,ISO 14064,無，無統計相關數據,,,4.6,產量(公噸)                                                                                                                                                                                              
1471,首利,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1472,三洋實業,無，本公司於111/5/11通過溫室氣體排放時程表，因組織尚未完整，尚未決定由何單位及何種方式進行數據蒐集。,,,無，本公司於111/5/11通過溫室氣體排放，因組織尚未完整，尚未決定由何單位及何種方式進行數據蒐集。,,,無，本公司於111/5/11通過溫室氣體排放，因組織尚未完整，尚未決定由何單位及何種方式進行數據蒐集。,,,無，本公司於111/5/11通過溫室氣體排放，因組織尚未完整，尚未決定由何單位及何種方式進行數據蒐集。,
1473,台南,7562,包含合併財務報表之母子公司,,6373,包含合併財務報表之母子公司,,無，無統計相關數據,,,0.0006,產品
1474,弘裕,1481,母公司,,15381.7,母公司,,無，無統計相關數據,,,6.79,百萬元營業額
1475,業旺,無，詳年報說明,,,無，詳年報說明,,,無，詳年報說明,,,無，詳年報說明,
1476,儒鴻,27129.8083,包含合併財務報表之母子公司,ISO 14064,97001.4456,包含合併財務報表之母子公司,ISO 14064,2848.8975,包含合併財務報表之母子公司,ISO 14064,0.0031,百萬元營業額
1477,聚陽,15114.56,"範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd",ISO 14064,22446.32,"範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd",ISO 14064,587.98,聚陽股份有限公司(總公司),ISO 14064,1.17,百萬元營業額
