"報告年度:2024","議題:持股及控制力"
"=""2014""","中鴻","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2014_20250625F17.pdf"
"=""2015""","豐興","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2015_20250528F17.pdf"
"=""2017""","官田鋼","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2017_20250528F17.pdf"
"=""2020""","美亞","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2020_20250528F17.pdf"
"=""2022""","聚亨","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2022_20250528F17.pdf"
"=""2023""","燁輝","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2023_20250618F17.pdf"
"=""2024""","志聯","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2024_20250528F17.pdf"
"=""2025""","千興","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2025_20250604F17.pdf"
"=""2027""","大成鋼","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2027_20250611F17.pdf"
"=""2028""","威致","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2028_20250618F17.pdf"
"=""2029""","盛餘","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2029_20250613F17.pdf"
"=""2030""","彰源","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2030_20250616F17.pdf"
"=""2031""","新光鋼","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2031_20250529F17.pdf"
"=""2032""","新鋼","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2032_20250611F17.pdf"
"=""2033""","佳大","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2033_20250620F17.pdf"
"=""2034""","允強","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2034_20250616F17.pdf"
"=""2038""","海光","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2038_20250625F17.pdf"
"=""2049""","上銀","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2049_20250528F17.pdf"
"=""2059""","川湖","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2059_20250627F17.pdf"
"=""2062""","橋椿","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2062_20250509F17.pdf"
"=""2069""","運錩","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2069_20250527F17.pdf"
"=""2101""","南港","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2101_20250522F17.pdf"
"=""2102""","泰豐","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2102_20250519F17.pdf"
"=""2103""","台橡","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2103_20250603F17.pdf"
"=""2104""","國際中橡","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2104_20250528F17.pdf"
"=""2105""","正新","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2105_20250526F17.pdf"
"=""2106""","建大","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2106_20250529F17.pdf"
"=""2107""","厚生","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_2107_20250613F17.pdf"
